from,to,time
from,to,time
B1,B4,1
EE dept,Physics dept,1
B1,B5,1
O3,O4,1
B5,G6,1
I2,I3,1
B4,B1,1
B2,B4,1
B3,B1,1
G6,G1,1
B5,B1,1
B2,B1,1
G1,G5,1
G6,G5,1
Library,Admin Block,1
B3,B5,1
G2,G4,1
B4,B2,1
G3,G4,1
BBSE dept,Basic Labs dept,1
B2,B3,1
G2,G1,1
G5,G2,1
B5,B2,1
G6,G2,1
B4,B5,1
B1,I3,2
B4,I2,2
LHC,Library,2
CSE dept,BBSE dept,2
Knowledge Tree,Main Gate,4
B2,Old Mess,2
B3,G2,2
Y3,O3,2
B1,G1,2
Shamiyana,Old Mess,2
CSE dept,Math dept,2
B5,Library,3
G3,Y3,3
B1,LHC,2
Math dept,Physics dept,1
G2,B3,2
G4,B3,2
New Mess,Old Mess,2
G1,G2,1
B4,LHC,2
B2,B5,1
G4,G6,1
G5,G4,1
B4,G6,1
I2,Main Gate,7
I3,Main Gate,7
B3,B2,1
CSE dept,Chemistry dept,1
Library,CSE dept,1
CSE dept,Mech dept,1
Chemistry dept,Basic Labs dept,1
BBSE dept,Math dept,1
Knowledge Tree,Library,3
LHC,BBSE dept,2
Y4,G3,2
G3,G2,1
Physics dept,Mech dept,2
O3,Y3,2
B1,G4,1
B1,G5,1
B4,I3,2
B4,LHC,2
B2,Old Mess,2
B3,G2,2
Y3,O3,2
B1,G1,2

